id,year,question_number,title,text,marks,difficulty,paper_type,primary_topic,all_topics,topic_count
1,2024,1(a),Differentiate f(x) = 3x⁴ - 2x³ + 5x² - 7x + 1 with respect to x.,Differentiate f(x) = 3x⁴ - 2x³ + 5x² - 7x + 1 with respect to x.,4,Easy,Higher Level,Calculus - Differentiation,Calculus - Differentiation; Functions,2
29,2022,1(b),Solve the differential equation dy/dx = 3x² + 2x - 1.,Solve the differential equation dy/dx = 3x² + 2x - 1. [2022],7,Medium,Higher Level,Algebra,Algebra; Calculus - Differentiation,2
37,2021,1(b),Solve the differential equation dy/dx = 3x² + 2x - 1.,Solve the differential equation dy/dx = 3x² + 2x - 1. [2021],7,Medium,Higher Level,Algebra,Algebra; Calculus - Differentiation,2
45,2020,1(b),Solve the differential equation dy/dx = 3x² + 2x - 1.,Solve the differential equation dy/dx = 3x² + 2x - 1. [2020],7,Medium,Higher Level,Algebra,Algebra; Calculus - Differentiation,2
2,2024,1(b),Find the equation of the tangent to the curve y = x³ - 6x² + 9x + 2 at the po...,Find the equation of the tangent to the curve y = x³ - 6x² + 9x + 2 at the point where x = 2.,6,Medium,Higher Level,Trigonometry,Trigonometry; Algebra; Calculus - Differentiation,3
4,2024,2(b),Prove the identity: cos²(x) - sin²(x) = cos(2x).,Prove the identity: cos²(x) - sin²(x) = cos(2x).,5,Medium,Higher Level,Trigonometry,Trigonometry,1
13,2024,6(c),Find the total distance travelled by the particle in the first 4 seconds.,Find the total distance travelled by the particle in the first 4 seconds.,11,Hard,Higher Level,Trigonometry,Trigonometry,1
22,2023,2(a),"A triangle has sides of length a = 8, b = 10, and angle C = 60°. Use the cosi...","A triangle has sides of length a = 8, b = 10, and angle C = 60°. Use the cosine rule to find the length of side c.",5,Medium,Higher Level,Trigonometry,"Trigonometry; Geometry; Length, Area and Volume",3
23,2023,2(b),Hence find the area of the triangle using the formula Area = ½ab sin(C).,Hence find the area of the triangle using the formula Area = ½ab sin(C).,4,Easy,Higher Level,Trigonometry,"Trigonometry; Geometry; Length, Area and Volume",3
30,2022,2(a),Express sin(3θ) in terms of sin(θ) and cos(θ).,Express sin(3θ) in terms of sin(θ) and cos(θ). [2022],6,Medium,Higher Level,Trigonometry,Trigonometry,1
38,2021,2(a),Express sin(3θ) in terms of sin(θ) and cos(θ).,Express sin(3θ) in terms of sin(θ) and cos(θ). [2021],6,Medium,Higher Level,Trigonometry,Trigonometry,1
46,2020,2(a),Express sin(3θ) in terms of sin(θ) and cos(θ).,Express sin(3θ) in terms of sin(θ) and cos(θ). [2020],6,Medium,Higher Level,Trigonometry,Trigonometry,1
3,2024,2(a),Solve the equation sin(2θ) = √3/2 for 0° ≤ θ ≤ 360°.,Solve the equation sin(2θ) = √3/2 for 0° ≤ θ ≤ 360°.,5,Medium,Higher Level,Algebra,Algebra; Trigonometry,2
9,2024,5(a),Solve the quadratic equation 2x² - 7x + 3 = 0 using the quadratic formula.,Solve the quadratic equation 2x² - 7x + 3 = 0 using the quadratic formula.,4,Easy,Higher Level,Algebra,Algebra; Trigonometry,2
25,2023,3(b),Find the determinant of matrix A and hence find A⁻¹.,Find the determinant of matrix A and hence find A⁻¹.,7,Medium,Higher Level,General Mathematics,General Mathematics,1
31,2022,2(b),Solve cos(2x) = 0.5 for 0 ≤ x ≤ 2π.,Solve cos(2x) = 0.5 for 0 ≤ x ≤ 2π. [2022],5,Medium,Higher Level,Algebra,Algebra; Trigonometry,2
39,2021,2(b),Solve cos(2x) = 0.5 for 0 ≤ x ≤ 2π.,Solve cos(2x) = 0.5 for 0 ≤ x ≤ 2π. [2021],5,Medium,Higher Level,Algebra,Algebra; Trigonometry,2
47,2020,2(b),Solve cos(2x) = 0.5 for 0 ≤ x ≤ 2π.,Solve cos(2x) = 0.5 for 0 ≤ x ≤ 2π. [2020],5,Medium,Higher Level,Algebra,Algebra; Trigonometry,2
5,2024,3(a),"Find the complex number z such that z² + 2z + 5 = 0, giving your answer in th...","Find the complex number z such that z² + 2z + 5 = 0, giving your answer in the form a + bi.",5,Medium,Higher Level,Complex Numbers,Complex Numbers,1
6,2024,3(b),Express the complex number z = -1 + i√3 in polar form.,Express the complex number z = -1 + i√3 in polar form.,5,Medium,Higher Level,Complex Numbers,Complex Numbers,1
